,order_type,procedure_name,count(*)
1468,Imaging,XR FLUORO NEPHROSTOGRAM,47
1469,Imaging,XR BONE SURVEY INFANT,46
1470,Imaging,MRI LUMBAR W CONTRAST,46
1471,Lab,JO1 ANTIBODY,46
1472,Procedures,DENTAL BLOCK,46
1473,Imaging,CT TEMPORAL BONE WO CONTRAST,45
1474,Nursing,CATHETERIZATION FOR SPEC COLLECTION,45
1475,Lab,TOXOPLASMOSIS AB IGG/IGM,44
1476,Lab,"GLUCOSE TOLERANCE, 1 HR",44
1477,Nursing,TRANSFER OF CARE,44
1478,Lab,"ELASTASE,PANCREATIC (EL-1),FECAL",44
1479,Imaging,CT UROGRAPHY,44
1480,Lab,"GLUCOSE TOLERANCE, 3 HR",44
1481,Lab,TESTOSTERONE,44
1482,Lab,"GLUCOSE TOLERANCE, FASTING",44
1483,Nursing,PROVIDE SUTURE TRAY TO PATIENT BEDSIDE,44
1484,Nursing,INSULIN PUMP INSTRUCTIONS,44
1485,Lab,"GLUCOSE TOLERANCE, 2 HR",44
1486,Lab,LUPUS SCREEN REICHLIN,44
1487,Lab,"SPECIMEN HOLD, OTHER",44
1488,Lab,SCLERODERMA ANTIBODY SCL 70,43
1489,Imaging,XR KNEES AP BILAT STANDING,43
1490,Lab,"PARANEOPLASTIC PROFILE, SERUM",43
1491,Respiratory Care,"TRANSCUTANEOUS MONITORING, CONTINUOUS",43
1492,Lab,TRYPTASE,43
1493,Lab,ACETYLCHOLINE RECEPTOR BINDING ANTIBODY,43
1494,Lab,"CATECHOLAMINES FRACTIONATED, 24 HR URINE",43
1495,Lab,TULAREMIA ANTIBODY,43
1496,Nursing,CLAMP FEEDING TUBE,43
1497,Microbiology,GC CULTURE,43
1498,PT,PT RANGE OF MOTION,42
1499,Lab,ENDOMYSIAL IGA AUTOANTIBODY,42
1500,Imaging,CT CERVICAL SPINE W WO CONTRAST,42
1501,Lab,HSV TYPE 1 AND 2 IGG ANTIBODY,42
1502,Nursing,POST VOID RESIDUAL CATHETERIZATION,42
1503,Imaging,US SUPERFICIAL NON EXTREMITY,42
1504,Imaging,CT ANKLE WO CONTRAST RIGHT,42
1505,Imaging,CTA CHEST W CONTRAST,42
1506,Respiratory Care,APNEA MONITOR,42
1507,Blood Bank,PREPARE CRYOPRECIPITATE,42
1508,Imaging,CT ASPIRATION ABDOMEN,42
1509,Lab,C1 ESTERASE INHIBITOR,41
1510,Imaging,MRI FEMUR W WO CONTRAST RIGHT,41
1511,Imaging,IR STENT PLACEMENT,41
1512,Nursing,NO VENIPUNCTURE,41
1513,Imaging,XR SPINE ENTIRE 2 OR 3 VIEWS,41
1514,Lab,"PORPHYRINS, RANDOM URINE",40
1515,Consult,IP CONSULT TO OUTPT DIABETES EDUCATION,40
1516,Sleep Center,POLYSOMNOGRAPHY,40
1517,Point of Care Testing,"POC PH, URINE",40
1518,Imaging,MRI HIP W WO CONTRAST LEFT,40
1519,Nursing,MEDICATION SELF ADMINISTRATION,40
1520,Outpatient Referral,AMB REFERRAL TO INTERNAL MEDICINE,40
1521,Nursing,SKIN ASSESSMENT,40
1522,Microbiology,BACTERIAL VAGINOSIS/VAGINITIS PANEL,40
1523,Nursing,LIE FLAT POST PROCEDURE,39
1524,Consult to Surgery,IP CONSULT TO CARDIOTHORACIC SURGERY,39
1525,Lab,"CHROMOSOME ANALYSIS HEMATALOGIC DISORDERS, BONE MARROW",39
1526,Lab,HLA TYPING ABC,39
1527,Point of Care Testing,POC INFLUENZA A AND B,38
1528,Lab,"ANEUPLOIDY DETECTION, NEWBORN, FISH",38
1529,Outpatient Referral,AMB REFERRAL TO PAIN CLINIC,38
1530,Lab,HEPATITIS B VIRAL DNA QUANTITATIVE PCR,38
1531,Nursing,HOLD TRANSFUSION,38
1532,Respiratory Care,ASTHMA EDUCATION RT,38
1533,Lab,FSH,38
1534,OB,VAG PACK,38
1535,Nursing,LOG ROLL,38
1536,Lab,BRUCELLA IGG/IGM SCREEN,37
1537,Lab,LUTEINIZING HORMONE,37
1538,Lab,SYPHILIS SEROLOGY W/REFLEX,37
1539,Imaging,XR UPR EXT INFANT 2+ VW LEFT,37
1540,Lab,ZINC LEVEL,37
1541,Imaging,CT LOW EXT WO CONTRAST LEFT,36
1542,Lab,CARDIOLIPIN ANTIBODY IGA,36
1543,Lab,"CORTISOL FREE, 24 HR URINE",36
1544,Nursing,GASTRIC LAVAGE,36
1545,Imaging,US DUPLEX ARTERIAL ARMS BILATERAL,36
1546,Imaging,MRI TIBIA FIBULA W WO CONT RIGHT,36
1547,Imaging,CTA ABD AORTA BI ILIOFEM W WO,36
1548,Imaging,XR FOREARM 2 VW BILAT,36
1549,Nursing,CHEST TUBE REMOVAL,36
1550,Lab,FACTOR IX ASSAY,36
1551,Imaging,XR UPR GI AIR CONTRAST W ESOPH,36
1552,Microbiology,"MYCOBACTERIA, PCR TB",36
1553,Lab,PLATELET ANTIBODIES DIRECT,35
1554,Imaging,XR HUMERUS 1 VW LEFT,35
1555,Diet,DIET CALORIE CONTROLLED,35
1556,Imaging,CT FOOT WO CONTRAST RIGHT,35
1557,Imaging,CT CERVICAL SPINE W CONTRAST,35
1558,Imaging,MRI HIP WO CONTRAST RIGHT,35
1559,Outpatient Referral,AMB REFERRAL TO OCCUPATIONAL THERAPY,35
1560,Imaging,XR CALCANEUS 2+ VW RIGHT,35
1561,Imaging,XR LOW EXT INFANT 2 VW LEFT,35
1562,Nursing,NASAL DRESSING,35
1563,Imaging,CT LOW EXT W CONTRAST RIGHT,35
1564,Lab,FACTOR V ASSAY,35
1565,Imaging,MRA ABDOMEN W WO CONTRAST,34
1566,Nursing,FOLLOW PW GEN: SKIN CARE TREATMENT: PRESSURE ULCER/LOWER EXT ULCER PAT,34
1567,Lab,HELICOBACTER PYLORI AB IGG/IGM/IGA,34
1568,Imaging,XR PELVIS W LAT HIP LT,34
1569,Nursing,PATIENT MAY HAVE EPIDURAL,34
1570,Point of Care Testing,POC POTASSIUM,34
1571,Imaging,XR WRIST 2 VW BILAT,34
1572,Nursing,CLONUS ASSESSMENT,34
1573,Imaging,XR PELVIS W LAT HIP RT,34
1574,Lab,"CALCIUM LEVEL, 24 HR URINE",34
1575,Imaging,MRI THER PLAN TSPINE W WO CONTR,34
1576,Lab,"CANNABINOID QUANTITATIVE, URINE",34
1577,Imaging,XR CALCANEUS 2+ VW LEFT,34
1578,Lab,IGF-I (INSULIN LIKE GROWTH FACTOR I),34
1579,Imaging,CT ABDOMEN PELVIS W WO CHEST W CONT,34
1580,Lab,IMMATURE PLATELET FRACTION,33
1581,Nursing,ONCOLOGY NURSING COMMUNICATION C,33
1582,Lab,TORCH IGG,33
1583,Imaging,MRA NECK WO CONTRAST,33
1584,Lab,CMV IGM,33
1585,Outpatient Referral,AMB REFERRAL TO HAND SURGEON,33
1586,Lab,SICKLE CELL SCREEN,33
1587,Outpatient Referral,AMB REFERRAL TO NEUROSURGERY,33
1588,Lab,APT TEST,33
1589,Imaging,MRI SHOULDER W WO CONTRAST RIGHT,33
1590,Lab,"HEMATOCRIT, BODY FLUID",33
1591,Nursing,HIBICLENS SHOWER / BATH,33
1592,ECHO,ECHOCARDIOGRAM CONGENITAL ANOMALY 2D,32
1593,Outpatient Referral,AMB REFERRAL TO SPEECH THERAPY,32
1594,Imaging,MRI SHOULDER W WO CONTRAST LEFT,32
1595,Imaging,CT BIOPSY RENAL RIGHT,32
1596,Diet,DIET PERITONEAL DIALYSIS,32
1597,Outpatient Referral,AMB REFERRAL TO NEPHROLOGY,32
1598,Microbiology,T-SPOT TB,32
1599,Imaging,US VESSEL MAP FOR HEMODIALYSIS ACCESS,32
1600,Microbiology,"ASPERGILLUS ANTIGEN, BRONCHOALVEOLAR LAVAGE",32
1601,Lab,THYROID PEROXIDASE ANTIBODY,32
1602,Lab,INFLUENZA A AND B ANTIBODIES,31
1603,Lab,BCR/ABL BY FISH,31
1604,Lab,CHROMOSOMAL MICROARRAY,31
1605,Dialysis,CONTINUOUS VENOVENOUS HEMOFILTRATION,31
1606,Lab,"AMINO ACID QUANTITATIVE, PLASMA",31
1607,Lab,FACTOR X ASSAY,31
1608,Lab,CONNECTIVE TISSUE DISEASE CASCADE,31
1609,Imaging,CT SINUS FACIAL BONES W WO CONT,31
1610,Imaging,CT FOOT WO CONTRAST LEFT,31
1611,Ophthalmology,EYE IRRIGATION WITH MORGAN LENS,31
1612,Imaging,XR FEMUR 1 VW LEFT,31
1613,Nursing Transfusion,TRANSFUSE UNCROSSMATCHED/EMERGENCY BLOOD PRODUCTS,31
1614,PT,PT ORTHOTIC FITTING/TRAINING,31
1615,Lab,"CERV/VAG CYTOPATH, THIN PREP",31
1616,Procedures,TRACHEOSTOMY REPLACEMENT,31
1617,Nursing,IMPLANTABLE DEFIBRILLATOR OFF,30
1618,Blood Bank,UNCROSSMATCHED/EMERGENCY ISSUE BLOOD PRODUCTS,30
1619,Imaging,CT DRAINAGE LIVER,30
1620,Lab,MTHFR,30
1621,Imaging,XR SNIFF TEST FLUORO LESS THAN 1 HOUR,30
1622,External Education,EDUCATION PREDIABETES - EMMI,30
1623,Nursing,CHEST TUBE SETUP,30
1624,Microbiology,MYCOPLASMA AND UREAPLASMA DETECTION,30
1625,Lab,"OPIATE QUANTITATIVE, URINE",30
1626,Imaging,XR CHEST 2 VW W APICAL LORDOTIC,30
1627,Imaging,MRI HIP WO CONTRAST LEFT,30
1628,Lab,BARTONELLA AB IGG/IGM W REFLEX TITER,30
1629,Imaging,US BIOPSY THYROID NEEDLE GUIDANCE,30
1630,Microbiology,STREPTOCOCCUS GROUP B CULTURE,30
1631,Imaging,MAMMO DIGITAL DIAG BILAT,30
1632,Lab,TOBRAMYCIN LEVEL PEAK,30
1633,Lab,PTT MIXING TEST,30
1634,Lab,HU ANTIBODY,29
1635,Lab,"BLOOD GAS,(INCL. H+H, LYTES, GLUC)",29
1636,Microbiology,GENITAL CULTURE,29
1637,Lab,"THYROGLOBULIN, TUMOR MARKER",29
1638,Nursing,DIAPER COUNT,29
1639,Lab,PARVOVIRUS BY PCR,29
1640,Nursing,APPLY STERI STRIPS,29
1641,OT,OT ASSESS REHAB,28
1642,Imaging,MRI KNEE W WO CONTRAST RIGHT,28
1643,Imaging,CT TIBIA FIBULA WO CONTRAST RIGHT,28
1644,Imaging,IR VENOUS NECK,28
1645,Lab,ALPHA FETOPROTEIN MATERNAL,28
1646,Imaging,US BREAST UNI LEFT COMPLETE,28
1647,Imaging,US OB LESS THAN 14 WKS EA ADDITIONAL GEST,28
1648,Lab,"CHROMOSOME ANALYSIS, TISSUE",28
1649,Imaging,XR FACIAL BONES LESS THAN 3 VW,28
1650,External Education,EDUCATION METABOLIC SYNDROME - EMMI,28
1651,External Education,EDUCATION HYPERTENSION - EMMI,28
1652,Imaging,CT ANKLE WO CONTRAST LEFT,28
1653,Imaging,XR LOW EXT INFANT 2 VW BILAT,28
1654,Imaging,MRI SACRUM W WO CONTRAST,28
1655,Lab,VITAMIN A LEVEL,28
1656,Nursing,CLINICAL INSTITUTE WITHDRAWAL ASSESSMEN*,27
1657,PT,PT HOME EVAL,27
1658,Imaging,CT ASPIRATION LUNG LEFT,27
1659,Imaging,NM LUNG VENT PERF,27
1660,Lab,MONONUCLEOSIS SCREEN W/REFLEX EBV AB,27
1661,Outpatient Referral,AMB REFERRAL TO HOSPICE,27
1662,Lab,FISH STUDIES,27
1663,Nursing,REASON FOR NOT PRESCRIBING ASPIRIN,27
1664,Imaging,CT GUIDE VISCERAL TISSUE ABLATION,27
1665,Lab,"PTH, INTEROPERATIVE POST RESECTION",27
1666,Lab,"CHROMOSOME ANALYSIS, HEMATOLOGIC DISORDERS, BLOOD",27
1667,Imaging,MRA HEAD W WO CONTRAST,27
1668,Admission,ED PLACE PATIENT AS OUTPATIENT,27
1669,Nursing,DOPPLE PULSE,27
1670,Lab,HLA TYPING DR,26
1671,Nursing,LAB COLLECTION COMMUNICATION ORDER D,26
1672,Lab,HEPATITIS BE ANTIBODY,26
1673,SLP,SLP SWALLOWING TREATMENT,26
1674,PT,PT ASSESS REHAB,26
1675,Diet,DIET WIRED JAW,26
1676,Imaging,XR URETHROCYSTOGRAM,26
1677,Imaging,XR ORBITS 4+ VW,26
1678,Lab,PRIMIDONE AND PHENOBARBITOL LEVEL,26
1679,Nursing,TISSUE ADHESIVE TO PATIENT BEDSIDE,26
1680,Imaging,XR UPR GI AIR CONTRAST+ KUB,26
1681,Consult,IP CONSULT TO TOBACCO CESSATION,26
1682,Lab,ANTIDIURETIC HORMONE,26
1683,Imaging,IR VENOUS HEAD,26
1684,Lab,URIC ACID ON ICE,26
1685,Microbiology,NASAL CULTURE,26
1686,Nursing,PULSE CHECKS,26
1687,Imaging,MRI PITUITARY WITH BRAIN MR W WO CONTRAST,26
1688,Imaging,CT CERVICAL THORACIC WO CONTRAST,26
1689,Imaging,US VENOUS REFLUX RIGHT LEG,26
1690,Imaging,CT ASPIRATION LUNG RIGHT,25
1691,Imaging,CT GUIDANCE FOR INJECTION,25
1692,Outpatient Referral,AMB REFERRAL TO PULMONARY REHAB,25
1693,External Education,EDUCATION DEPRESSION - EMMI,25
1694,Nursing,TRANSCUTANEOUS BILIRUBINOMETRY,25
1695,Lab,COMPLEMENT C1Q,25
1696,Lab,TOBRAMYCIN LEVEL TROUGH,25
1697,Imaging,CT DRAINAGE RETROPERITONEAL ABS,25
1698,Outpatient Referral,AMB REFERRAL TO DIABETIC EDUCATION,25
1699,OB,MECHANICAL CERVICAL RIPENING (FOLEY BULB),25
1700,Imaging,US UPR ABDOMINAL AORTA,24
1701,Imaging,US VEN DOPPLER MAPPING ARM LEFT,24
1702,Imaging,CT TIBIA FIBULA WO CONTRAST LEFT,24
1703,Outpatient Referral,AMB REFERRAL TO DERMATOLOGY,24
1704,Lab,ANAPLASMA PHAGOCYTOPHILIUM ANTIBODIES,24
1705,Lab,TICK-BORNE DISEASE AB PANEL W/REFLEX,24
1706,Restraints,"RESTRAINTS,RENEW VIOLENT/SELF DEST (18&UP)",24
1707,External Education,EDUCATION PATIENT SATISFACTION: EMERGENCY DEPARTMENT DISCHARGE EXPECTATIONS - EMMI,24
1708,Imaging,MRI ABDOMEN W CONTRAST,24
1709,Lab,"CATECHOLAMINES FRACTIONATED, PLASMA",24
1710,Imaging,CT FEMUR WO CONTRAST LEFT,24
1711,Lab,"ORGANIC ACIDS, URINE",24
1712,External Education,EDUCATION PATIENT SATISFACTION: HOSPITAL DISCHARGE EXPECTATIONS,24
1713,Imaging,MRI KNEE W WO CONTRAST LEFT,24
1714,Consult,IP CONSULT TO PEDIATRIC GASTROENTEROLOGY,24
1715,Lab,CALCITONIN,24
1716,Lab,DRVVT 1:1 MIX,24
1717,Lab,"CALPROTECTIN, FECAL",24
1718,Nursing,DIET INSTRUCTIONS TO NURSING,24
1719,Lab,ENTEROVIRUS BY PCR,24
1720,Imaging,XR LOW EXT INFANT 2 VW RIGHT,24
1721,Imaging,CTA LOW EXT W WO CONTRAST RIGHT,24
1722,Lab,C1 ESTERASE FUNCTIONAL,24
1723,Imaging,XR FOOT 2 VW BILAT,24
1724,Imaging,CT LOW EXT W CONTRAST LEFT,24
1725,Respiratory Care,MINI BRONCH ALVEOLAR LAVAGE,24
1726,Imaging,IR CAROTID STENTS W ANGIOGRAM,23
1727,Lab,COXSACKIE B ANTIBODIES,23
1728,Imaging,US BREAST UNI RIGHT COMPLETE,23
1729,Imaging,XR FEMUR 1 VW RIGHT,23
1730,Consult,IP CONSULT TO INFECTION PREVENTION,23
1731,Imaging,US CAROTID IMAGE LIMITED LEFT,23
1732,Lab,"SODIUM, 24 HR URINE",23
1733,Imaging,CT PELVIS W WO CONTRAST,23
1734,Outpatient Referral,AMB REFERRAL TO GYNECOLOGY,23
1735,Imaging,US OB 14+ WKS ADDITIONAL GEST,23
1736,Lab,ANTITHROMBIN III ANTIGEN,23
1737,Lab,"ENCEPHALITIS ANTIBODY, CSF",23
1738,Imaging,MRI FOOT WO CONTRAST BILAT,23
1739,Lab,COXIELLA BURNETTI ABS,23
1740,Lab,ISLET CELL ANTIBODY,23
1741,Lab,HELICOBACTER PYLORI UREA BREATH TEST,23
1742,Imaging,MRI ANKLE WO CONTRAST LEFT,23
1743,Lab,TEST AUTHORIZATION,22
1744,External Education,EDUCATION PATIENT SATISFACTION: AFTER DISCHARGE EXPECTATIONS,22
1745,Lab,ANCA C & P,22
1746,Imaging,MRI IAC W BRAIN MR W WO CONTRAST,22
1747,Lab,INSULIN ANTIBODY,22
1748,Lab,EBV ANTI-EARLY ANTIGEN,22
1749,Imaging,CTA LOW EXT W WO CONTRAST LEFT,22
1750,Consult,IP CONSULT TO PHARMACY-PATIENT EDUCATION,22
1751,Lab,ADAMTS13 INHIBITOR,22
1752,Point of Care Imaging,POC BEDSIDE ULTRASOUND,22
1753,Lab,VON WILLEBRAND PANEL,22
1754,Imaging,CT ABDOMEN W WO CONT PELVIS CHEST W CONT,22
1755,Lab,HIV 1/HIV 2 AB DIFFERENTIATION,22
1756,Imaging,NM PARATHYROID PLANAR IMAGING,22
1757,Imaging,CT ABDOMEN W WO CONTRAST LTD,22
1758,Diet,DIET LOW VIT K,22
1759,Nursing,OPEN CRIB,22
1760,Imaging,XR UPR EXT INFANT 2+ VW RIGHT,22
1761,Imaging,MRA VENOUS HEAD W CONTRAST,22
1762,Dialysis,THERAPEUTIC APHERESIS FOR WHITE BLOOD CELLS,22
1763,Imaging,MRI HAND W WO CONTRAST RIGHT,22
1764,Nursing,ADMISSION WEIGHT,21
1765,Imaging,CT SOFT TISSUE NECK W WO CONTRAST,21
1766,Imaging,MRI TIBIA FIBULA W WO CONTRAST LEFT,21
1767,Imaging,MAMMO DIGITAL SCREEN BILAT,21
1768,OT,OT SPLINT APPLICATION,21
1769,Lab,"PORPHOBILINOGEN QUANTITATIVE, URINE",21
1770,Imaging,CT FEMUR WO CONTRAST RIGHT,21
1771,Lab,LYME ANTIBODY WESTERN BLOT,21
1772,Lab,HEMATOCRIT,21
1773,Imaging,MRI TIBIA FIBULA WO CONT RIGHT,21
1774,Lab,GROWTH HORMONE,21
1775,Nursing,BLADDER PRESSURE MONITOR,21
1776,Lab,MYCOPLASMA SCREEN,21
1777,Microbiology,CRE SURVEILLANCE SCREEN,21
1778,PR Charge,PR NEBULIZER KIT,21
1779,Imaging,CT CHEST ABDOMEN W WO CONT,20
1780,Imaging,XR MYELOGRAM 2 OR 3 REGIONS,20
1781,Imaging,US VEN DOPPLER MAPPING ARMS BILAT,20
1782,Imaging,NM LUNG QUAN DIFF FUNC VENT PERF,20
1783,Blood Bank,EXTRA TUBE (BB PINK/LAV),20
1784,Imaging,US EXT NON VASC COMPLETE LT,20
1785,Lab,PORPHYRIN TOTAL,20
1786,Blood Bank,PREPARE PLATELETS IN ML,20
1787,Imaging,MRI THERP PLAN CSPINE W WO CONTR,20
1788,ECG,EKG 12-LEAD MAGNET,20
1789,Nursing,RESTRICT VISITORS,20
1790,Nursing,PARACENTESIS TRAY TO BEDSIDE,20
1791,Lab,POC BLOOD GAS ARTERIAL,20
1792,Lab,"VALPROIC ACID, TOTAL AND FREE",20
1793,Lab,PROTIME MIXING TEST,20
1794,Imaging,CT SINUSES LIMITED,20
1795,Imaging,XR KNEE 4+ VW RIGHT,20
1796,Lab,SJOGRENS SYNDROME-B EXTRACT NUCLEAR AB,20
1797,Precaution,HIP PRECAUTIONS POSTERIOR,20
1798,Imaging,US OB GREATER THAN 14 WKS SINGLE + BIOPHYS,20
1799,Lab,HEPATITIS B SURFACE ANTIGEN W/CONF,20
1800,Outpatient Referral,AMB REFERRAL TO ONCOLOGY,20
1801,Lab,TREPONEMA PALLIDUM CONFIRMATION,19
1802,Imaging,MRI FOOT W CONTRAST LEFT,19
1803,Nursing,APPLICATION UNNABOOT,19
1804,Lab,SJOGREN'S ANTIBODIES,19
1805,Lab,"PSA,TOTAL AND FREE",19
1806,Lab,TESTOSTERONE FREE AND TOTAL,19
1807,Lab,TOBRAMYCIN LEVEL RANDOM,19
1808,Nursing,APPLICATION SHORT ARM SPLINT DYNAMIC,19
1809,Lab,CSF PANEL WITHOUT CULTURE,19
1810,Nursing,BONE MARROW BIOPSY TRAY TO BEDSIDE,19
1811,Imaging,XR SINUSES LESS THAN 3 VW,19
1812,Point of Care Testing,POC HEMATOCRIT,19
1813,Lab,RAPAMYCIN LEVEL,19
1814,Imaging,US BIOPSY RENAL LEFT,19
1815,Imaging,MRI FOOT W CONTRAST RIGHT,19
1816,Imaging,US BIOPSY PROSTATE,19
1817,Outpatient Referral,AMB REFERRAL TO COLORECTAL SURGERY,19
1818,Nursing,CAST CARE,19
1819,Lab,COMPLEMENT TOTAL,19
1820,Imaging,XR MYELOGRAM CERVICAL,19
1821,Nursing,APPLY CRYOTHERAPY ICE MACHINE,19
1822,Imaging,US BREAST UNI LT LTD,19
1823,Lab,"VMA, 24HR URINE",19
1824,Lab,"JCV BY PCR, CSF",19
1825,Imaging,XR PORT CONTRAST INJECT W FLUORO,18
1826,Imaging,MRI ANKLE W WO CONTRAST LEFT,18
1827,Imaging,US TRANSRECTAL,18
1828,Imaging,US VENOUS REFLUX LEFT LEG,18
1829,Lab,VITAMIN E LEVEL,18
1830,Imaging,MRI FOOT W WO CONTRAST BILAT,18
1831,Outpatient Referral,AMB REFERRAL TO HEMATOLOGY,18
1832,Microbiology,MENINGITIS PATHOGEN PCR PANEL,18
1833,Lab,"HEAVY METALS SCREEN, RANDOM URINE",18
1834,Imaging,MRI SOFT TISSUE NECK W WO CONTRAST,18
1835,Point of Care Testing,POC RAPID STREP A,18
1836,Lab,"DRUG SCREEN,DRUGS OF ABUSE W/REFLEX",18
1837,Lab,PLASMA FREE HEMOGLOBIN,18
1838,Lab,GLIADIN ANTIBODY IGA,18
1839,Lab,CHOLESTEROL TOTAL,18
1840,Imaging,NM HEPATOBIL W PHARM INTERV,18
1841,Consult,IP CONSULT TO PERINATOLOGY,18
1842,Imaging,US FETAL BIOPHYSICAL PROF W NST,18
1843,OT,OT PLACE HAND SPLINT,18
1844,Imaging,XR HAND 2 VW BILAT,18
1845,General Supply,KNEE IMMOBILIZER,17
1846,Microbiology,INTRAPARTUM (RAPID) GROUP B STREP DETECTION,17
1847,Imaging,NM RENOGRAM W PHARM,17
1848,Equipment,WALKER ROLLING,17
1849,Imaging,MRI FOREARM W WO CONTRAST RIGHT,17
1850,Lab,"C-REACTIVE PROTEIN, CSF",17
1851,Lab,CBC MIXED CELL DIFFERENTIAL,17
1852,Imaging,XR MYELOGRAM THORACIC,17
1853,Nursing,CENTRAL VENOUS OXYGEN SATURATION,17
1854,External Education,EDUCATION PALLIATIVE CARE - EMMI,17
1855,Imaging,CT THORACIC SPINE W CONTRAST,17
1856,Imaging,US VEN DOPPLER MAPPING ARM RIGHT,16
1857,Lab,ALKALINE PHOSPHATASE ISOENZYMES,16
1858,Lab,"DRUG SCREEN, OCC MED/EMP HEALTH, URINE",16
1859,Nursing,"FOLLOW PW CAR: UNSTABLE ANGINA/AMI, NSTEMI PATHWAY",16
1860,Consult,IP CONSULT TO SLEEP LAB,16
1861,Imaging,IR ABDOMINAL FEMORAL RUN OFF,16
1862,Lab,"METHOTREXATE LEVEL, 24 HR",16
1863,Imaging,XR PELVIS 3+ VW,16
1864,IV,INSERT ARTERIAL LINE,16
1865,Lab,BABESIA MICROTI IGG AND IGM ANTIBODIES,16
1866,Imaging,CT BIOPSY SPINE,16
1867,Imaging,XR FOOT 1 VW LEFT,16
1868,OT,OT SPLINT/SLING,16
1869,Blood Bank,"TYPE AND SCREEN, PRENATAL",16
1870,Imaging,CT THORACIC SPINE W WO CONTRAST,16
1871,Imaging,CTA LOW EXT W WO CONTRAST BI,16
1872,Imaging,NM RENOGRAM W FLOW AND FUNCTION,16
1873,Lab,"BENZODIAZEPINE QUANTITIATIVE, URINE",16
1874,Respiratory Care,IONIZED CALCIUM,16
1875,Imaging,MRI FEMUR WO CONTRAST RIGHT,16
1876,Lab,"HEMOSIDERIN QUALITATIVE, URINE",16
1877,Lab,VON WILLEBRAND FACTOR ANTIGEN,16
1878,Consult,IP CONSULT TO REACH TO RECOVERY,16
1879,Lab,"THYROGLOBULIN, IMMUNOASSAY",16
1880,Lab,THYROGLOBULIN ANTIBODY,16
1881,Imaging,MRI TIBIA FIBULA WO CONTRAST LEFT,16
1882,Imaging,NM PARATHYROID PLANAR + SPECT,16
1883,Electrophysiology,IR FLUORO OR OTHER,16
1884,Lab,SMITH IGG ANTIBODY,16
1885,Imaging,MRI ANKLE WO CONTRAST RIGHT,16
1886,Lab,HEPATITIS A IGM,16
1887,External Education,EDUCATION TAKING WARFARIN (COUMADIN (R)) - EMMI,16
1888,Imaging,US CAROTID IMAGE LIMITED RIGHT,16
1889,Imaging,XR HUMERUS 2+ VW BILAT,16
1890,Imaging,XR CERVICAL SPINE 3 VIEWS OR LESS,16
1891,Audiology,INFANT HEARING SCREEN,16
1892,Imaging,US OB 14+ WKS + TV CERV LENGTH,16
1893,ECHO,ECHO COMPLETE WO DOPPLER,16
1894,Imaging,XR KNEE 4+ VW BILAT,16
1895,Microbiology,BONE MARROW CULTURE,16
1896,Imaging,CT BIOPSY PELVIS,16
1897,Imaging,MAMMO BREAST US RIGHT LTD,15
1898,Nursing,SUPPORTIVE CARE / TRANSITIONAL CARE,15
1899,Lab,RIBOSOMAL P PROTEIN ANTIBODY,15
1900,Lab,"METANEPHRINES FRACTIONATED, RANDOM URINE",15
1901,Lab,CRMP-5-IGG WB,15
1902,Lab,COXSACKIE A ANTIBODIES,15
1903,Lab,THYROID STIMULATING IMMUNOGLOBULIN,15
1904,Equipment,WHEELCHAIR,15
1905,Imaging,CT ELBOW WO CONTRAST RIGHT,15
1906,Lab,ANTI-DNASE B TITER,15
1907,Blood Bank,PREPARE FRESH FROZEN PLASMA IN ML,15
1908,Imaging,NM CISTERNOGRAM,15
1909,Lab,HISTONE ANTIBODY,15
1910,Nursing,ASPIRATE FEEDING TUBE,15
1911,Lab,PLATELET ANTIBODIES INDIRECT,15
1912,PFT,CARBON MONOXIDE DIFFUSING CAPACITY,15
1913,Lab,SJOGRENS SYNDROME-A EXTRACT NUCLEAR AB,15
1914,Lab,ANTI-XA HEPARIN MONITORING,14
1915,Imaging,XR WRIST 1 VW LEFT,14
1916,Lab,STRONGYLOIDES IGG,14
1917,Lab,HEPATITIS BE ANTIGEN,14
1918,Microbiology,"CRYPTOCOCCAL ANTIGEN TITER, CSF",14
1919,Imaging,XR HUMERUS 1 VW RIGHT,14
1920,Imaging,US OB GREATER THAN 14 WKS ADDL + BIOPHYS,14
1921,Microbiology,"GC, GENITAL",14
1922,Nursing,BED BATH,14
1923,Lab,HISTORICAL LAB RESULTS,14
1924,Imaging,CT DRAINAGE PANCREAS,14
1925,Lab,"PHOSPHATIDYLSERINE ABS, IGG, IGM, IGA",14
1926,Microbiology,ANAEROBIC CULTURE,14
1927,Lab,"OLIGOCLONAL BANDING, SERUM",14
1928,Nursing,FOLLOW PW CAR: CHEST PAIN PATHWAY,14
1929,Respiratory Care,"OXYGEN,CUBE/POD",14
1930,Lab,"OLIGOCLONAL BANDS, CSF",14
1931,Imaging,XR LUMBAR SPINE W BENDING 6+VW,14
1932,Imaging,XR C-ARM FLUORO,14
1933,Lab,COLLAGEN/ADP,14
1934,Lab,CBC WITH AUTODIFFERENTIAL,14
1935,Lab,FACTOR VII ASSAY,14
1936,Imaging,US EXT NON VASC COMPLETE RT,14
1937,Lab,"OLIGOCLONAL BANDS, SPINAL FLUID",14
1938,Imaging,XR CHEST INSPIRATION EXPIRATION,14
1939,Nursing,PLEURAL TAP- ORDER TRAY & STERILE GLOVES,14
