,admitting_diagnosis,count(admitting_diagnosis)
6976,Chronic atrial fibrillation,1
6977,"Deep phlebothrombosis, antepartum, with delivery",1
6978,Unspecified suppurative otitis media,1
6979,Acute venous embolism and thrombosis of deep veins of upper extremity,1
6980,Herpetic gingivostomatitis,1
6981,Non-pressure chronic ulcer of other part of left foot with necrosis of bone,1
6982,"Hemorrhage from placenta previa, unspecified as to episode of care",1
6983,Cellulitis of groin,1
6984,"Fracture of subcondylar process of right mandible, initial encounter for closed fracture",1
6985,Toxic effect of petroleum products,1
6986,"Insect bite (nonvenomous) of left eyelid and periocular area, initial encounter",1
6987,"Superficial foreign body of unspecified part of neck, initial encounter",1
6988,Cicatricial entropion,1
6989,"Plasma cell leukemia, without mention of having achieved remission",1
6990,"Unspecified genitourinary tract infection in pregnancy, second trimester",1
6991,Malignant neoplasm of left upper limb,1
6992,Neoplasm of uncertain behavior of unspecified breast,1
6993,"Unspecified open wound of abdominal wall, right lower quadrant without penetration into peritoneal cavity, initial encounter",1
6994,Other specified iron deficiency anemias,1
6995,Closed fracture of seventh cervical vertebra without mention of spinal cord injury,1
6996,"Manic episode without psychotic symptoms, unspecified",1
6997,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified",1
6998,"Nonpsychotic mental disorder, unspecified",1
6999,Melanocytic nevi of scalp and neck,1
7000,Vomiting following gastrointestinal surgery,1
7001,Contusion of unspecified part of upper limb,1
7002,"Displaced intertrochanteric fracture of unspecified femur, initial encounter for closed fracture",1
7003,"Stiffness of right wrist, not elsewhere classified",1
7004,"Foreign body in other and multiple parts of external eye, left eye, initial encounter",1
7005,Cellulitis of corpus cavernosum and penis,1
7006,"Open wound of ear, part unspecified, complicated",1
7007,Flushing,1
7008,"Other preterm infants, 1,500-1,749 grams",1
7009,"Obesity complicating pregnancy, first trimester",1
7010,"Displaced fracture of proximal phalanx of right little finger, initial encounter for open fracture",1
7011,"Displaced oblique fracture of shaft of left fibula, initial encounter for closed fracture",1
7012,Sicca syndrome,1
7013,"3-part fracture of surgical neck of left humerus, initial encounter for closed fracture",1
7014,"Other specified rheumatoid arthritis, left knee",1
7015,Pneumocystosis,1
7016,Other unilateral secondary osteoarthritis of hip,1
7017,"Glasgow coma scale score 3-8, at arrival to emergency department",1
7018,Neoplasm of uncertain behavior of liver and biliary passages,1
7019,"Toxic effect of rattlesnake venom, accidental (unintentional), initial encounter",1
7020,"Other specified types of non-hodgkin lymphoma, extranodal and solid organ sites",1
7021,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, accidental (unintentional), initial encounter",1
7022,"Displaced fracture of medial phalanx of right middle finger, initial encounter for closed fracture",1
7023,"Noninflammatory disorder of vagina, unspecified",1
7024,"Traumatic secondary and recurrent hemorrhage and seroma, subsequent encounter",1
7025,"Unspecified injury of face, sequela",1
7026,Acute myeloid leukemia in remission,1
7027,"Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture",1
7028,"Infection of amputation stump, right upper extremity",1
7029,"Poisoning by penicillins, intentional self-harm, initial encounter",1
7030,Malignant neoplasm of lateral floor of mouth,1
7031,"Displacement of other cardiac and vascular devices and implants, initial encounter",1
7032,"Atrophic disorder of skin, unspecified",1
7033,"Dislocation of tarsometatarsal joint of left foot, initial encounter",1
7034,Closed fracture of unspecified part of lower end of humerus,1
7035,"Contusion of unspecified part of small intestine, initial encounter",1
7036,Neoplasm of uncertain behavior of right ovary,1
7037,"Open-angle glaucoma, unspecified",1
7038,"Torus fracture of lower end of left radius, subsequent encounter for fracture with routine healing",1
7039,Other suppurative peritonitis,1
7040,"Respiratory condition of newborn, unspecified",1
7041,"Other nondisplaced fracture of upper end of left humerus, initial encounter for closed fracture",1
7042,Malignant neoplasm of tonsil,1
7043,Closed fracture of one rib,1
7044,Unspecified ectropion of left lower eyelid,1
7045,Other and unspecified postsurgical nonabsorption,1
7046,Aftercare for healing traumatic fracture of upper arm,1
7047,"Complete traumatic metacarpophalangeal amputation of left thumb, initial encounter",1
7048,Unspecified anomaly of dental arch relationship,1
7049,"Dislocation of radiocarpal joint of left wrist, initial encounter",1
7050,"Ganglion, unspecified site",1
7051,Other testicular hypofunction,1
7052,"Anterior tibial syndrome, right leg",1
7053,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,1
7054,Poisoning by unspecified agent primarily affecting skin and mucous membrane,1
7055,"Nondisplaced fracture of proximal third of navicular (scaphoid) bone of left wrist, initial encounter for closed fracture",1
7056,"Unspecified fracture of left forearm, initial encounter for open fracture type I or II",1
7057,"Displaced fracture of second metatarsal bone, left foot, initial encounter for closed fracture",1
7058,Hallux malleus,1
7059,"Derangement of unspecified lateral meniscus due to old tear or injury, unspecified knee",1
7060,Stricture and stenosis of cervix uteri,1
7061,Melanocytic nevi of lip,1
7062,"Ankylosis, unspecified joint",1
7063,Neoplasm of uncertain behavior of spinal meninges,1
7064,Disruption of traumatic injury wound repair,1
7065,"Acute gastric ulcer with hemorrhage, without mention of obstruction",1
7066,"Blisters with epidermal loss due to burn (second degree) of two or more digits of hand, not including thumb",1
7067,"Post-traumatic osteoarthritis, left shoulder",1
7068,"Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication",1
7069,Traumatic hemothorax without mention of open wound into thorax,1
7070,Unspecified psychosis not due to a substance or known physiological condition,1
7071,Other enterovirus diseases of central nervous system,1
7072,"Displaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture",1
7073,"Other complication of obstetrical surgical wounds, with delivery, with mention of postpartum complication",1
7074,Malignant neoplasm of pylorus,1
7075,"Partial traumatic amputation of right great toe, initial encounter",1
7076,"Unspecified fracture of upper end of right ulna, initial encounter for closed fracture",1
7077,"Renal sclerosis, unspecified",1
7078,"Unspecified fracture of third metacarpal bone, left hand, initial encounter for closed fracture",1
7079,Other bursitis disorders,1
7080,Postprocedural subglottic stenosis,1
7081,Nodules of vocal cords,1
7082,Pneumonia due to methicillin resistant Staphylococcus aureus,1
7083,"Displaced fracture of shaft of left clavicle, initial encounter for open fracture",1
7084,Recurrent dislocation of upper arm joint,1
7085,"Unspecified complications of puerperium, postpartum condition or complication",1
7086,Acute tracheitis without obstruction,1
7087,Diverticulitis of large intestine with perforation and abscess with bleeding,1
7088,"Bipolar I disorder, single manic episode, unspecified",1
7089,Fetus or newborn affected by other specified maternal complications of pregnancy,1
7090,"Nontraumatic ischemic infarction of muscle, left shoulder",1
7091,"Peripheral tear of medial meniscus, current injury, left knee, subsequent encounter",1
7092,"Laceration of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",1
7093,Deep phlebothrombosis in the puerperium,1
7094,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,1
7095,Erythema due to burn (first degree) of unspecified site of hand,1
7096,"Sinus, fistula and cyst of branchial cleft",1
7097,Herpesviral infection of other urogenital tract,1
7098,Intercostal pain,1
7099,Benign neoplasm of other specified sites of skin,1
7100,"Strain of flexor muscle, fascia and tendon of left little finger at wrist and hand level, subsequent encounter",1
7101,"Primary open-angle glaucoma, left eye, stage unspecified",1
7102,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum con",1
7103,"Exhaustion due to exposure, initial encounter",1
7104,"Laceration with foreign body, left foot, initial encounter",1
7105,Methicillin resistant Staphylococcus aureus septicemia,1
7106,Monocular exotropia,1
7107,"Open bite of right back wall of thorax without penetration into thoracic cavity, initial encounter",1
7108,"Mild hyperemesis gravidarum, delivered",1
7109,Pituitary-dependent Cushing's disease,1
7110,Congenital talipes calcaneovalgus,1
7111,"Displaced fracture of lateral condyle of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",1
7112,Acute dermatitis due to solar radiation,1
7113,"Schmorl's nodes, lumbar region",1
7114,"Mild to moderate pre-eclampsia, second trimester",1
7115,Guillain-Barre syndrome,1
7116,"Primary open-angle glaucoma, stage unspecified",1
7117,Hemorrhoids in the puerperium,1
7118,"Genital herpes, unspecified",1
7119,"Circumvallate placenta, third trimester",1
7120,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,1
7121,"Poisoning by iminostilbenes, undetermined, initial encounter",1
7122,"Open wound of tongue and floor of mouth, complicated",1
7123,Neuroleptic malignant syndrome,1
7124,"Nondisplaced fracture of lateral malleolus of left fibula, subsequent encounter for closed fracture with routine healing",1
7125,"Supervision of pregnancy with history of pre-term labor, first trimester",1
7126,"Unspecified fracture of right patella, initial encounter for closed fracture",1
7127,"Benign neoplasm of bone and articular cartilage, unspecified",1
7128,"Strain of flexor muscle, fascia and tendon of right little finger at wrist and hand level, initial encounter",1
7129,"Congenital renal cyst, unspecified",1
7130,"Chondromalacia patellae, unspecified knee",1
7131,"Abscess of breast, postpartum",1
7132,"Erythema due to burn (first degree) of chest wall, excluding breast and nipple",1
7133,"Hypertrophy of bone, right ankle and foot",1
7134,"Undersocialized conduct disorder, aggressive type, unspecified",1
7135,"Other superficial bite of left thumb, initial encounter",1
7136,"Malignant neoplasm of corpus uteri, unspecified",1
7137,Infective myositis,1
7138,Poisoning by other central nervous system stimulants,1
7139,"Other viral diseases complicating pregnancy, third trimester",1
7140,"Other specified arthritis, right wrist",1
7141,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating other procedure,1
7142,"Laceration of flexor muscle, fascia and tendon of left ring finger at wrist and hand level, initial encounter",1
7143,"Open wound of multiple sites of nose, complicated",1
7144,"Open wound of abdominal wall, lateral, without mention of complication",1
7145,"Corrosion of first degree of neck, initial encounter",1
7146,"Unspecified fracture of the lower end of left radius, initial encounter for open fracture type I or II",1
7147,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity,1
7148,"Closed dislocation, lumbar vertebra",1
7149,Poisoning by other non-narcotic analgesics,1
7150,Encounter for adjustment and management of cerebrospinal fluid drainage device,1
7151,"Unspecified fracture of right lower leg, initial encounter for closed fracture",1
7152,Senile ectropion of left lower eyelid,1
7153,"Strain of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, initial encounter",1
7154,"Discitis, unspecified, thoracic region",1
7155,Open fracture of lower end of radius with ulna,1
7156,Neoplasm of uncertain behavior of paraganglia,1
7157,"Postpartum coagulation defects, postpartum",1
7158,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for open fracture",1
7159,"Malignant poorly differentiated neuroendocrine carcinoma, any site",1
7160,"Other mechanical complication of internal fixation device of vertebrae, initial encounter",1
7161,Benign neoplasm of ear and external auditory canal,1
7162,"Other specified types of non-hodgkin lymphoma, lymph nodes of inguinal region and lower limb",1
7163,"Opioid type dependence, continuous",1
7164,"Polyhydramnios, third trimester, fetus 1",1
7165,"Insect bite (nonvenomous) of unspecified finger, initial encounter",1
7166,"Unspecified injury of left lower leg, subsequent encounter",1
7167,Edema of right orbit,1
7168,"Breakdown (mechanical) of breast prosthesis and implant, initial encounter",1
7169,"Secondary diabetes mellitus with ketoacidosis, uncontrolled",1
7170,Spinal and epidural anesthesia-induced headache during labor and delivery,1
7171,Burn of unspecified degree of scalp (any part),1
7172,"Other injury of spleen, initial encounter",1
7173,"Displaced fracture of distal phalanx of right middle finger, initial encounter for open fracture",1
7174,Infraspinatus (muscle) (tendon) sprain,1
7175,"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of hemorrhage, perforation, or obstruction",1
7176,"Maternal care for other rhesus isoimmunization, third trimester, not applicable or unspecified",1
7177,Acute embolism and thrombosis of deep veins of right upper extremity,1
7178,"Displaced fracture of proximal phalanx of left lesser toe(s), initial encounter for closed fracture",1
7179,Radial collateral ligament sprain,1
7180,Contracture of tendon (sheath),1
7181,"Anaphylactic reaction due to other food products, initial encounter",1
7182,Subscapularis (muscle) sprain,1
7183,"Minor contusion of left kidney, subsequent encounter",1
7184,"Burn of first degree of left wrist, initial encounter",1
7185,Myoclonus,1
7186,"Open bite, right hip, initial encounter",1
7187,"Malignant neoplasm of larynx, unspecified",1
7188,Articular bearing surface wear of prosthetic joint,1
7189,"Poisoning by other psychodysleptics (hallucinogens), accidental (unintentional), initial encounter",1
7190,"Muscle wasting and atrophy, not elsewhere classified, left lower leg",1
7191,"Adverse effect of loop (high-ceiling) diuretics, initial encounter",1
7192,"Burn of first degree of multiple left fingers (nail), not including thumb, initial encounter",1
7193,"Intrauterine death affecting management of mother, delivered",1
7194,"Other fracture of left lower leg, initial encounter for open fracture type I or II",1
7195,"Insect bite (nonvenomous) of unspecified front wall of thorax, initial encounter",1
7196,Disorders of mitochondrial metabolism,1
7197,"Disorder of pituitary gland, unspecified",1
7198,"Hemochromatosis, unspecified",1
7199,"Injury of lumbosacral plexus, initial encounter",1
7200,Adult onset fluency disorder,1
7201,"Unspecified fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion",1
7202,"Adverse effect of other psychostimulants, initial encounter",1
7203,"Puncture wound without foreign body, right knee, initial encounter",1
7204,"Mantle cell lymphoma, lymph nodes of multiple sites",1
7205,"Displaced fracture of neck of second metacarpal bone, right hand, initial encounter for closed fracture",1
7206,"Age-related cataract, morgagnian type, bilateral",1
7207,Disorders of porphyrin metabolism,1
7208,"Unspecified disorder of synovium and tendon, right upper arm",1
7209,"Other specified indication for care or intervention related to labor and delivery, delivered",1
7210,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter",1
7211,Contact dermatitis and other eczema due to food in contact with skin,1
7212,Non-pressure chronic ulcer of right calf with fat layer exposed,1
7213,Other lack of coordination,1
7214,Encounter for long-term (current) use of insulin,1
7215,"Abdominal tenderness, generalized",1
7216,"Infection of other part of genital tract in pregnancy, unspecified trimester",1
7217,Acute bronchospasm,1
7218,"Displaced transverse fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with delayed healing",1
7219,"Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm, initial encounter",1
7220,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter",1
7221,Benign neoplasm of right adrenal gland,1
7222,Encounter for suspected problem with amniotic cavity and membrane ruled out,1
7223,"Other forms of scoliosis, site unspecified",1
7224,Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin,1
7225,Other early complications of trauma,1
7226,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing",1
7227,"Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with delayed healing",1
7228,Adult sexual abuse,1
7229,Acute vulvitis,1
7230,"Fracture of unspecified phalanx of left middle finger, initial encounter for open fracture",1
7231,Atelectasis,1
7232,Causalgia of right lower limb,1
7233,"Suspected damage to fetus from drugs, affecting management of mother, antepartum",1
7234,"Pathological fracture in neoplastic disease, right radius, initial encounter for fracture",1
7235,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 1",1
7236,Pulmonary diseases due to other mycobacteria,1
7237,"Anemia complicating pregnancy, second trimester",1
7238,"Poisoning by iminostilbenes, accidental (unintentional), initial encounter",1
7239,"Other subluxation of right foot, initial encounter",1
7240,Other burn of cornea and conjunctival sac,1
7241,"Malignant neoplasm complicating pregnancy, third trimester",1
7242,Arthralgia of bilateral temporomandibular joint,1
7243,"Unspecified open wound of left elbow, initial encounter",1
7244,"Laceration without foreign body, unspecified lower leg, initial encounter",1
7245,"Injury of ulnar nerve at wrist and hand level of right arm, subsequent encounter",1
7246,Acute nasopharyngitis (common cold),1
7247,Acute epiglottitis without obstruction,1
7248,"Foreign body in ear, unspecified ear, initial encounter",1
7249,"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding",1
7250,"Marginal zone lymphoma, lymph nodes of inguinal region and lower limb",1
7251,Flat foot,1
7252,"Poisoning by iminostilbenes, intentional self-harm, initial encounter",1
7253,"Fracture of unspecified part of body of mandible, unspecified side, initial encounter for closed fracture",1
7254,"Polyhydramnios, unspecified trimester, not applicable or unspecified",1
7255,Anorexia nervosa,1
7256,"Other cyst of bone, unspecified ankle and foot",1
7257,"Toxic effect of lacrimogenic gas, accidental (unintentional), initial encounter",1
7258,"Post-traumatic osteoarthritis, right shoulder",1
7259,"Blister (nonthermal), right great toe, initial encounter",1
7260,"Anterior subcapsular polar cataract, nonsenile",1
7261,"Lesion of ulnar nerve, bilateral upper limbs",1
7262,"Placenta previa without hemorrhage, with delivery",1
7263,Other specified transient cerebral ischemias,1
7264,Injury to unspecified blood vessel of lower extremity,1
7265,"Effusion, right shoulder",1
7266,"Congenital or acquired abnormality of vulva, antepartum condition or complication",1
7267,"Iliotibial band syndrome, right leg",1
7268,Unspecified disorder of eye movements,1
7269,Other congenital anomaly of spine,1
7270,"Unspecified open wound of right middle finger without damage to nail, initial encounter",1
7271,"Collapsed vertebra, not elsewhere classified, thoracic region, sequela of fracture",1
7272,Encounter for attention to other artificial openings of urinary tract,1
7273,Fitting and adjustment of dental prosthetic device,1
7274,Other peripheral vascular disease,1
7275,Lesion of lateral popliteal nerve,1
7276,Aftercare for healing traumatic fracture of vertebrae,1
7277,"Displaced fracture of body of left calcaneus, subsequent encounter for fracture with routine healing",1
7278,"Chronic instability of knee, unspecified knee",1
7279,"Subluxation of tarsometatarsal joint of right foot, initial encounter",1
7280,"Other chronic osteomyelitis, unspecified site",1
7281,Other asthma,1
7282,Carcinoma in situ of other parts of cervix,1
7283,Poisoning by other specified agents primarily affecting the gastrointestinal system,1
7284,Encounter for routine checking of intrauterine contraceptive device,1
7285,Encounter for long-term (current) use of antibiotics,1
7286,Anorectal fistula,1
7287,"Burn of first degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter",1
7288,Other symptoms referable to pelvic joint,1
7289,"Localized swelling, mass and lump, upper limb, bilateral",1
7290,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester",1
7291,"Nonallopathic lesion of pelvic region, not elsewhere classified",1
7292,New daily persistent headache,1
7293,Extravasation of urine,1
7294,"Other mechanical complication of implanted testicular prosthesis, initial encounter",1
7295,Other cervical disc displacement at C4-C5 level,1
7296,"Sprain of sternum, other",1
7297,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,1
7298,"Displaced fracture of medial phalanx of right little finger, initial encounter for closed fracture",1
7299,"Unilateral osteoarthritis resulting from hip dysplasia, right hip",1
7300,"Other rupture of muscle (nontraumatic), right ankle and foot",1
7301,Contracture of hand joint,1
7302,"Acute streptococcal tonsillitis, unspecified",1
7303,Hypertensive heart disease with heart failure,1
7304,"Unspecified sprain of left hip, initial encounter",1
7305,Foreign body in stomach,1
7306,"Debility, unspecified",1
7307,Other hyperparathyroidism,1
7308,Ulcerative (chronic) rectosigmoiditis with rectal bleeding,1
7309,Supervision of high-risk pregnancy of young multigravida,1
7310,"Effusion of joint, multiple sites",1
7311,"Other foreign object in pharynx causing other injury, initial encounter",1
7312,"Unstable lie of fetus, delivered",1
7313,Crohn's disease of both small and large intestine with unspecified complications,1
7314,"Other mechanical complication of internal fixation device of other bones, initial encounter",1
7315,"Paraplegia, unspecified",1
7316,"Arthropathy, unspecified, other specified sites",1
7317,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",1
7318,"Malocclusion, Angle's class II",1
7319,"Bacterial infection, unspecified",1
7320,"Unspecified fracture of unspecified metacarpal bone, initial encounter for closed fracture",1
7321,Old laceration of cervix uteri,1
7322,"Collapsed vertebra, not elsewhere classified, lumbar region, subsequent encounter for fracture with delayed healing",1
7323,"Subluxation of distal end of right ulna, initial encounter",1
7324,Empyema with fistula,1
7325,"Migraine without aura, without mention of intractable migraine without mention of status migrainosus",1
7326,"Malignant neoplasm of lip, unspecified",1
7327,"Malignant neoplasm of greater curvature of stomach, unspecified",1
7328,Cauda equina syndrome,1
7329,"Partial placenta previa nos or without hemorrhage, unspecified trimester",1
7330,"Unspecified dislocation of right patella, initial encounter",1
7331,"Other specified arthritis, left shoulder",1
7332,Encounter for screening for malignant neoplasm of other sites,1
7333,Blepharochalasis left upper eyelid,1
7334,"Pyogenic arthritis, ankle and foot",1
7335,Other dissociative and conversion disorders,1
7336,Follicular cyst of right ovary,1
7337,"Traumatic arthropathy, pelvic region and thigh",1
7338,"Atherosclerosis of native arteries of extremities with gangrene, right leg",1
7339,Crushing injury of unspecified site of upper limb,1
7340,Health supervision for newborn 8 to 28 days old,1
7341,Old disruption of other ligament of knee,1
7342,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, delivered",1
7343,"Poisoning by loop (high-ceiling) diuretics, accidental (unintentional), initial encounter",1
7344,Irritability,1
7345,Other specified malignant neoplasm of skin of breast,1
7346,"Spermatocele of epididymis, multiple",1
7347,Eclampsia complicating the puerperium,1
7348,"Carbuncle and furuncle of leg, except foot",1
7349,Embolism and thrombosis of thoracic aorta,1
7350,"Basal cell carcinoma of skin of upper limb, including shoulder",1
7351,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",1
7352,"Unspecified tear of unspecified meniscus, current injury, right knee, initial encounter",1
7353,"Unspecified dislocation of right ring finger, initial encounter",1
7354,"Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection",1
7355,"Burn of unspecified degree of buttock, initial encounter",1
7356,"Other specified dorsopathies, lumbar region",1
7357,"Displaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with routine healing",1
7358,"Postural kyphosis, thoracolumbar region",1
7359,"Bucket-handle tear of medial meniscus, current injury, left knee, initial encounter",1
7360,"Pressure ulcer of sacral region, unstageable",1
7361,Ankylosis of teeth,1
7362,Open fracture of unspecified part of radius with ulna,1
7363,Excessive and redundant skin and subcutaneous tissue,1
7364,"Insect bite (nonvenomous) of unspecified shoulder, initial encounter",1
7365,"Foreign body in bladder, initial encounter",1
7366,Other complication of continent stoma of urinary tract,1
7367,Pathological dislocation of lower leg joint,1
7368,Poisoning by antiviral drugs,1
7369,Infective pericarditis,1
7370,"Maternal care for benign tumor of corpus uteri, third trimester",1
7371,"Other physeal fracture of lower end of radius, right arm, initial encounter for closed fracture",1
7372,"Stress fracture, left tibia, initial encounter for fracture",1
7373,"Unstable burst fracture of t11-T12 vertebra, initial encounter for closed fracture",1
7374,Pain disorder exclusively related to psychological factors,1
7375,Other sleep disorders,1
7376,Encounter for therapeutic drug level monitoring,1
7377,"Disorder of pigmentation, unspecified",1
7378,"Strain of other muscles, fascia and tendons at shoulder and upper arm level, left arm, initial encounter",1
7379,Unspecified noninflammatory disorder of cervix,1
7380,Unspecified cardiovascular disease,1
7381,"Insect bite (nonvenomous) of lip, initial encounter",1
7382,"Starvation, initial encounter",1
7383,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral",1
7384,Other congenital deformity of hip (joint),1
7385,"Chronic mastoiditis, left ear",1
7386,Injury to radial nerve,1
7387,"Benign neoplasm of connective and other soft tissue of right lower limb, including hip",1
7388,Acute gastric ulcer with hemorrhage and obstruction,1
7389,"Contusion of other part of head, subsequent encounter",1
7390,"Acute maxillary sinusitis, unspecified",1
7391,"Age-related cataract, morgagnian type, right eye",1
7392,"Secondary osteoarthritis, right shoulder",1
7393,Torsion of ovary and ovarian pedicle,1
7394,"Other complications of procedures, not elsewhere classified, subsequent encounter",1
7395,Closed fracture of sixth cervical vertebra without mention of spinal cord injury,1
7396,"Fusion of spine, lumbosacral region",1
7397,"Laceration of ureter, initial encounter",1
7398,"Benign neoplasm of skin of trunk, except scrotum",1
7399,Other and unspecified hyperlipidemia,1
7400,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified",1
7401,Closed fracture of unspecified part of forearm,1
7402,"Injury of conjunctiva and corneal abrasion without foreign body, right eye, initial encounter",1
7403,"Osteoarthrosis, unspecified whether generalized or localized, ankle and foot",1
7404,Special screening for other specified conditions,1
7405,"Dermatitis, unspecified",1
7406,"Malignant neoplasm of nipple and areola, left male breast",1
7407,"Acute lymphoid leukemia, in relapse",1
7408,Erythema due to burn (first degree) of lower leg,1
7409,Premenstrual tension syndrome,1
7410,"Displacement of internal fixation device of right femur, initial encounter",1
7411,"Late effects of cerebrovascular disease, dysarthria",1
7412,"Displaced fracture of distal phalanx of left middle finger, initial encounter for open fracture",1
7413,"Subluxation of proximal interphalangeal joint of left ring finger, initial encounter",1
7414,"Fracture of unspecified phalanx of right middle finger, initial encounter for open fracture",1
7415,"Infection and inflammatory reaction due to unspecified internal joint prosthesis, sequela",1
7416,"Obesity complicating pregnancy, unspecified trimester",1
7417,Straining on urination,1
7418,Edema of larynx,1
7419,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,1
7420,"Blister (nonthermal), right lower leg, initial encounter",1
7421,Other chronic postoperative pain,1
7422,"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester",1
7423,Other specified acquired deformities of right thigh,1
7424,"Maternal care for anti-d (rh) antibodies, second trimester, not applicable or unspecified",1
7425,"Burn of unspecified degree of right hand, unspecified site, initial encounter",1
7426,Myasthenia gravis without (acute) exacerbation,1
7427,Acute epiglottitis without mention of obstruction,1
7428,Crushing injury of elbow,1
7429,"Poisoning by other antidepressants, accidental (unintentional), initial encounter",1
7430,"Open bite of right hand, subsequent encounter",1
7431,"Unspecified hemorrhage in early pregnancy, delivered",1
7432,"Abdominal tenderness, left upper quadrant",1
7433,Toxic effect of caustic alkalis,1
7434,"Malignant neoplasm of mouth, unspecified site",1
7435,Aftercare following explantation of hip joint prosthesis,1
7436,"Burn of first degree of unspecified site of left lower limb, except ankle and foot, initial encounter",1
7437,"Chlamydial infection, unspecified",1
7438,"Toxic effect of venom of other arthropod, assault, initial encounter",1
7439,Malignant neoplasm of axillary tail of right female breast,1
7440,"Complex regional pain syndrome I, unspecified",1
7441,"Other osteomyelitis, lower leg",1
7442,Aneurysmal bone cyst,1
7443,Other respiratory distress of newborn,1
7444,"Melanocytic nevi of right upper limb, including shoulder",1
7445,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium",1
7446,Tachypnea,1
7447,Attention or concentration deficit,1
7448,"Open bite, right foot, initial encounter",1
7449,"Unspecified open wound of right little finger without damage to nail, initial encounter",1
7450,"Sprain of lateral collateral ligament of right knee, initial encounter",1
7451,Benign neoplasm of tongue,1
7452,Stress fracture of shaft of femur,1
7453,Calculus of gallbladder with other cholecystitis and obstruction,1
7454,"Abrasion of left shoulder, initial encounter",1
7455,"Displacement of implanted electronic neurostimulator of spinal cord electrode (lead), initial encounter",1
7456,"Toxic effect of other specified gases, fumes and vapors, accidental (unintentional), initial encounter",1
7457,"Crushing injury of right wrist, initial encounter",1
7458,"Maternal care for other abnormalities of cervix, first trimester",1
7459,Aneurysm of other visceral artery,1
7460,"Oligohydramnios, unspecified trimester, other fetus",1
7461,Other symptoms involving nervous and musculoskeletal systems,1
7462,"Contusion of unspecified intra-abdominal organ, initial encounter",1
7463,"Subluxation of other carpometacarpal joint of right hand, initial encounter",1
7464,"Diseases of the digestive system complicating pregnancy, unspecified trimester",1
7465,"Fracture of unspecified part of left clavicle, subsequent encounter for fracture with nonunion",1
7466,"Unspecified open wound of right lesser toe(s) without damage to nail, initial encounter",1
7467,Endometriosis of fallopian tube,1
7468,"Placenta accreta, third trimester",1
7469,Other open fracture of upper end of humerus,1
7470,Unspecified malignant neoplasm of skin of other and unspecified parts of face,1
7471,"Unspecified fracture of shaft of left femur, initial encounter for closed fracture",1
7472,"Burn of first degree of unspecified site of right lower limb, except ankle and foot, initial encounter",1
7473,"Infection and inflammatory reaction due to unspecified internal joint prosthesis, initial encounter",1
7474,"Cerebellar or brain stem contusion without mention of open intracranial wound, no loss of consciousness",1
7475,"Other diseases of bronchus, not elsewhere classified",1
7476,Congenital metatarsus primus varus,1
7477,Rotaviral enteritis,1
7478,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,1
7479,"Unspecified foreign body in other parts of respiratory tract causing other injury, initial encounter",1
7480,"Other spondylosis with myelopathy, thoracic region",1
